scenario,run,success,fail_reason,detected_seconds,promoted_seconds,rto_seconds,rejoin_seconds,pgpool_recovery_seconds,split_brain,primary_count_end,standby_count_end,integrity_ok,txid_before,txid_after,marker_exists_after,readyz_5xx_count,readyz_non200_count,readyz_avg_ms,readyz_p95_ms,alert_fired,alert_cleared_after,deleted_pod,promoted_pod,started_at,finished_at,precheck_seconds,failure_action_seconds,recovery_wait_seconds,verification_seconds,verify_integrity_seconds,verify_roles_seconds,verify_alert_seconds,verify_readyz_seconds,wall_seconds,core_success,extended_success,fail_codes
primary_failover,1,True,,0.14,1.44,25.94,6.61,196.41,False,1,2,True,1176,1191,True,1,1,,,False,True,postgres-ha-0,postgres-ha-1,2026-04-02T20:35:25.758177+00:00,2026-04-02T20:39:29.882231+00:00,2.97,27.53,203.01,10.61,2.38,0.62,6.24,1.37,244.12,True,False,FAIL_READYZ_5XX
primary_failover,2,True,,0.13,1.43,27.72,12.43,0.29,False,1,2,True,1193,1209,True,1,1,23.76,44.21,False,True,postgres-ha-1,postgres-ha-0,2026-04-02T20:39:31.882656+00:00,2026-04-02T20:41:38.301506+00:00,2.95,29.27,12.72,81.48,2.23,0.57,0.08,78.6,126.42,True,False,FAIL_READYZ_5XX
primary_failover,3,True,,0.12,1.39,22.5,12.39,211.7,False,1,2,True,1211,1228,True,1,1,,,False,True,postgres-ha-0,postgres-ha-1,2026-04-02T20:41:40.302094+00:00,2026-04-02T20:45:55.661971+00:00,2.96,24.02,224.09,4.29,2.26,0.59,0.08,1.35,255.36,True,False,FAIL_READYZ_5XX
primary_failover,4,True,,0.13,1.41,20.93,6.75,0.27,False,1,2,True,1230,1245,True,1,1,22.36,39.68,False,True,postgres-ha-1,postgres-ha-0,2026-04-02T20:45:57.662231+00:00,2026-04-02T20:49:48.889839+00:00,2.99,22.48,7.02,198.74,2.21,0.55,0.07,195.9,231.23,True,False,FAIL_READYZ_5XX
primary_failover,5,True,,0.13,0.13,27.71,12.45,184.38,False,1,2,True,1247,1263,True,1,1,,,False,True,postgres-ha-0,postgres-ha-1,2026-04-02T20:49:50.890248+00:00,2026-04-02T20:54:07.662726+00:00,3.03,27.97,196.83,28.94,2.27,0.6,24.72,1.36,256.77,True,False,FAIL_READYZ_5XX
standby_recovery,1,True,,,,,0.81,0.29,False,1,2,True,1265,1275,True,1,1,29.07,48.44,False,True,postgres-ha-0,,2026-04-02T20:54:09.663179+00:00,2026-04-02T20:56:19.307757+00:00,3.12,121.2,1.1,4.22,2.2,0.59,0.07,1.35,129.64,True,False,FAIL_READYZ_5XX
standby_recovery,2,True,,,,,0.84,0.29,False,1,2,True,1277,1287,True,0,0,22.24,37.94,False,True,postgres-ha-0,,2026-04-02T20:56:21.308007+00:00,2026-04-02T20:58:30.846604+00:00,2.97,121.14,1.13,4.29,2.3,0.55,0.07,1.37,129.54,True,True,
standby_recovery,3,True,,,,,0.85,0.28,False,1,2,True,1289,1299,True,0,0,17.91,36.96,False,True,postgres-ha-0,,2026-04-02T20:58:32.847195+00:00,2026-04-02T21:00:42.923938+00:00,3.06,121.62,1.13,4.27,2.26,0.58,0.08,1.36,130.08,True,True,
standby_recovery,4,True,,,,,0.89,0.3,False,1,2,True,1301,1311,True,0,0,25.8,43.72,False,True,postgres-ha-0,,2026-04-02T21:00:44.924311+00:00,2026-04-02T21:02:53.367175+00:00,2.97,120.16,1.18,4.13,2.18,0.53,0.07,1.35,128.44,True,True,
standby_recovery,5,True,,,,,0.78,0.28,False,1,2,True,1313,1323,True,0,0,25.67,38.77,False,True,postgres-ha-0,,2026-04-02T21:02:55.367420+00:00,2026-04-02T21:05:03.824145+00:00,3.0,120.2,1.06,4.19,2.2,0.55,0.08,1.36,128.46,True,True,
